# 2023-09-28T16:39:49 (5.000000,5.000000)
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
-65.000000,-80.000000,80.000000,13.209497,-65.105774
-60.000000,-80.000000,80.000000,15.109303,-65.087898
-55.000000,-80.000000,80.000000,17.021156,-65.117188
-50.000000,-80.000000,80.000000,18.944279,-65.192009
-45.000000,-80.000000,80.000000,20.877438,-65.310555
-40.000000,-80.000000,80.000000,22.819128,-65.470604
-35.000000,-80.000000,80.000000,24.766617,-65.670311
-30.000000,-80.000000,80.000000,26.716845,-65.907730
-25.000000,-80.000000,80.000000,28.666105,-66.181061
-20.000000,-80.000000,80.000000,30.610292,-66.488487
-15.000000,-80.000000,80.000000,32.544617,-66.828636
