# 2023-05-18T17:50:50
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
-35.0, -75.0, 500.0, 25.600074768066406, -63.09834671020508
-30.0, -75.0, 500.0, 28.138504028320312, -63.43394088745117
-25.0, -75.0, 500.0, 30.69720458984375, -63.80606460571289
-20.0, -75.0, 500.0, 33.27286148071289, -64.21194458007812
-15.0, -75.0, 500.0, 35.86134719848633, -64.64939880371094
-10.0, -75.0, 500.0, 38.45795440673828, -65.11687469482422
-5.0, -75.0, 500.0, 41.05766296386719, -65.6135025024414
0.0, -75.0, 500.0, 43.6553955078125, -66.13905334472656
5.0, -75.0, 500.0, 46.24628829956055, -66.69389343261719
10.0, -75.0, 500.0, 48.82592010498047, -67.27887725830078
15.0, -75.0, 500.0, 51.3905029296875, -67.89529418945312
20.0, -75.0, 500.0, 53.937034606933594, -68.54466247558594
25.0, -75.0, 500.0, 56.46339416503906, -69.2286605834961
30.0, -75.0, 500.0, 58.96837615966797, -69.948974609375
35.0, -75.0, 500.0, 61.45169448852539, -70.70713806152344
40.0, -75.0, 500.0, 63.9139518737793, -71.50448608398438
45.0, -75.0, 500.0, 66.35655212402344, -72.34195709228516
50.0, -75.0, 500.0, 68.78160095214844, -73.22010040283203
55.0, -75.0, 500.0, 71.19181823730469, -74.13894653320312
60.0, -75.0, 500.0, 73.59034729003906, -75.0979995727539
65.0, -75.0, 500.0, 75.98064422607422, -76.09619903564453
70.0, -75.0, 500.0, 78.36630249023438, -77.13198852539062
75.0, -75.0, 500.0, 80.75090789794922, -78.20326232910156
80.0, -75.0, 500.0, 83.13784790039062, -79.3075180053711
85.0, -75.0, 500.0, 85.53015899658203, -80.44184875488281
90.0, -75.0, 500.0, 87.9302978515625, -81.60308837890625
95.0, -75.0, 500.0, 90.33990478515625, -82.78785705566406
100.0, -75.0, 500.0, 92.75931549072266, -83.99266815185547
105.0, -75.0, 500.0, 95.18656158447266, -85.2139892578125
110.0, -75.0, 500.0, 97.61421966552734, -86.44832611083984
115.0, -75.0, 500.0, 100.01625061035156, -87.69225311279297
120.0, -75.0, 500.0, 102.24097442626953, -88.94245910644531
125.0, -75.0, 500.0, -71.98468780517578, -89.80391693115234
130.0, -75.0, 500.0, -71.82879638671875, -88.55065155029297
135.0, -75.0, 500.0, -69.45452117919922, -87.29997253417969
140.0, -75.0, 500.0, -66.9583511352539, -86.05479431152344
145.0, -75.0, 500.0, -64.42062377929688, -84.81771087646484
150.0, -75.0, 500.0, -61.8606071472168, -83.59121704101562
155.0, -75.0, 500.0, -59.28607940673828, -82.37767028808594
160.0, -75.0, 500.0, -56.701324462890625, -81.17935180664062
165.0, -75.0, 500.0, -54.10926055908203, -79.9984359741211
170.0, -75.0, 500.0, -51.512142181396484, -78.83699035644531
175.0, -75.0, 500.0, -48.91189193725586, -77.69703674316406
-180.0, -70.0, 500.0, -62.534515380859375, -73.63753509521484
-175.0, -70.0, 500.0, -58.4531364440918, -72.45799255371094
-170.0, -70.0, 500.0, -54.5530891418457, -71.3006591796875
-165.0, -70.0, 500.0, -50.80107498168945, -70.16887664794922
-160.0, -70.0, 500.0, -47.17219924926758, -69.06555938720703
-155.0, -70.0, 500.0, -43.6478271484375, -67.99337005615234
-150.0, -70.0, 500.0, -40.21405792236328, -66.9548568725586
-145.0, -70.0, 500.0, -36.86063003540039, -65.95256805419922
-140.0, -70.0, 500.0, -33.580074310302734, -64.98918151855469
-135.0, -70.0, 500.0, -30.367002487182617, -64.06758880615234
-130.0, -70.0, 500.0, -27.21753692626953, -63.19094467163086
-125.0, -70.0, 500.0, -24.128780364990234, -62.36275100708008
-120.0, -70.0, 500.0, -21.098342895507812, -61.58686065673828
-115.0, -70.0, 500.0, -18.12391471862793, -60.867431640625
-110.0, -70.0, 500.0, -15.202880859375, -60.20888137817383
-105.0, -70.0, 500.0, -12.33200740814209, -59.6157341003418
-100.0, -70.0, 500.0, -9.507184982299805, -59.092464447021484
-95.0, -70.0, 500.0, -6.723255634307861, -58.643272399902344
-90.0, -70.0, 500.0, -3.9739346504211426, -58.271846771240234
-85.0, -70.0, 500.0, -1.251821517944336, -57.98109436035156
-80.0, -70.0, 500.0, 1.4514871835708618, -57.77291488647461
-75.0, -70.0, 500.0, 4.14518928527832, -57.64796447753906
-70.0, -70.0, 500.0, 6.8389811515808105, -57.60552978515625
-65.0, -70.0, 500.0, 9.542685508728027, -57.643436431884766
-60.0, -70.0, 500.0, 12.265823364257812, -57.75808334350586
-55.0, -70.0, 500.0, 15.017152786254883, -57.944557189941406
-50.0, -70.0, 500.0, 17.804214477539062, -58.19685745239258
-45.0, -70.0, 500.0, 20.632911682128906, -58.508209228515625
-40.0, -70.0, 500.0, 23.507177352905273, -58.87140655517578
-35.0, -70.0, 500.0, 26.428749084472656, -59.27925109863281
-30.0, -70.0, 500.0, 29.39710235595703, -59.72490692138672
-25.0, -70.0, 500.0, 32.40956115722656, -60.202308654785156
-20.0, -70.0, 500.0, 35.46155548095703, -60.70643615722656
-15.0, -70.0, 500.0, 38.54708480834961, -61.2335319519043
-10.0, -70.0, 500.0, 41.65924072265625, -61.781219482421875
-5.0, -70.0, 500.0, 44.79084396362305, -62.3485221862793
0.0, -70.0, 500.0, 47.935096740722656, -62.935768127441406
5.0, -70.0, 500.0, 51.08617401123047, -63.544464111328125
10.0, -70.0, 500.0, 54.23978805541992, -64.17705535888672
15.0, -70.0, 500.0, 57.393611907958984, -64.83670043945312
20.0, -70.0, 500.0, 60.54767608642578, -65.52701568603516
25.0, -70.0, 500.0, 63.704620361328125, -66.25178527832031
30.0, -70.0, 500.0, 66.86997985839844, -67.01473999023438
35.0, -70.0, 500.0, 70.05238342285156, -67.81926727294922
